"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@apriyono6864","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IlTKYz1PS","​ @Renngur  sedang ada gangguan emang bg di bagian check out nya,gw mau beli adaptor ethernet nya juga gak bisa pas pembayaran nya","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","0"
"@mustafiin4081","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Ilwr7dlY8","Yang pakai saya balas di video sampean iki toh mas nanag pakai jaringan starlink.... 

Buka semua di hp tanpa lola","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","3"
"@wongsugih8666","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3InnVnPcoi","@NanangMrk sunat po ugung kang","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","3"
"@faizalljewell4809","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Io2u9HA61","Kalau akun terbelokir apakah bisa buat lagi? Orang Indonesia banyak akalnya... Lama2 STARLINK jadi RT/RW Net... Wkwkwkwk 🤣🤣","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","22"
"@mustafiin4081","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IoL6ijF3G","@yohanesden9018 bisa om. Saya sendiri langganan beli voucher bulanan sama yg punya starlink","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","0"
"@wasistosgp485","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IoemOZH1p","Mas, wifi nya bsa di share barcode gk? 
Atau bisa di Hotspot kan lg gk? 
Klo bisa sih mmang gk bsa buat jualan 😂","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","3"
"@jprast007","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Iqnubg-lX","​ @ARGaming-90 iya, sepertinya ga harus langganan 1 tahun. Sama aja sama yg jelajah cm ga bs kemana2","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","0"
"@Kentelnet123","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Ir7MRNiiS","​ @NanangMrk  mungkin mereka malas membaca artikel pentingnya mas😂","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","0"
"@achmadfatoni5909","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IrG3STSfl","Klo buat satu komplek boleh ngak tuh Bang?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","1"
"@NanangMrk","true","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IrIdgJAD6","Buat = beli lagi​ @faizalljewell4809 ","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","6"
